fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,label,quality,price,índice invertido,country,province,taster_name
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,Bom,5,39.0,1599,Italy,Sicily & Sardinia,Kerin O’Keefe
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,Bom,5,39.0,1598,Portugal,Douro,Roger Voss
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,Bom,5,39.0,1597,US,Oregon,Paul Gregutt
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,Muito bom,6,40.0,1596,US,Michigan,Alexander Peartree
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,Bom,5,24.0,1595,US,Oregon,Paul Gregutt
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,Bom,5,44.0,1594,Spain,Northern Spain,Michael Schachner
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,Bom,5,29.0,1593,Italy,Sicily & Sardinia,Kerin O’Keefe
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,Excelente,7,34.0,1592,France,Alsace,Roger Voss
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,Excelente,7,35.0,1591,Germany,Rheinhessen,Anna Lee C. Iijima
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,Bom,5,27.0,1590,France,Alsace,Roger Voss
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,Bom,5,13.0,1589,US,California,Virginie Boone
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,Bom,5,43.0,1588,France,Alsace,Roger Voss
5.6,0.615,0.0,1.6,0.08900000000000001,16.0,59.0,0.9943,3.58,0.52,9.9,Bom,5,38.0,1587,US,California,Virginie Boone
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,Bom,5,43.0,1586,Italy,Sicily & Sardinia,Kerin O’Keefe
8.9,0.62,0.18,3.8,0.17600000000000002,52.0,145.0,0.9986,3.16,0.88,9.2,Bom,5,19.0,1585,US,California,Matt Kettmann
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,Bom,5,30.0,1584,Germany,Mosel,Anna Lee C. Iijima
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,Excelente,7,2.0,1583,Argentina,Other,Michael Schachner
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,Bom,5,15.0,1582,Argentina,Mendoza Province,Michael Schachner
